observed_scientific_name,valid_scientific_name,vernacular_en
Polygonia gracilis,Polygonia gracilis,hoary comma
Oeneis chryxus,Oeneis chryxus,chryxus arctic
Callophrys eryphon,Callophrys eryphon,western pine elfin
Libytheana carinenta,Libytheana carinenta,american snout
Pyrgus communis,Pyrgus communis,common checkered-skipper
Pyrisitia lisa,Pyrisitia lisa,NULL
Colias nastes,Colias nastes,labrador sulphur
Boloria frigga,Boloria frigga,frigga fritillary
Chlosyne nycteis,Chlosyne nycteis,silvery checkerspot
Pontia protodice,Pontia protodice,checkered white
Abaeis nicippe,Abaeis nicippe,NULL
Hesperia sassacus,Hesperia sassacus,indian skipper
Thorybes bathyllus,Thorybes bathyllus,southern cloudywing
Battus philenor,Battus philenor,pipevine swallowtail
Cercyonis pegala,Cercyonis pegala,common wood-nymph
Danaus plexippus,Danaus plexippus,monarch
Erynnis juvenalis,Erynnis juvenalis,juvenal's duskywing
Erynnis lucilius,Erynnis lucilius,columbine duskywing
Poanes hobomok,Poanes hobomok,hobomok skipper
Amblyscirtes vialis,Amblyscirtes vialis,common roadside-skipper
Pieris oleracea,Pieris oleracea,NULL
Euchloe olympia,Euchloe olympia,olympia marble
Celastrina lucia,Celastrina lucia,NULL
Phyciodes tharos,Phyciodes tharos,pearl crescent
Polygonia interrogationis,Polygonia interrogationis,question mark
Polygonia comma,Polygonia comma,eastern comma
Vanessa atalanta,Vanessa atalanta,red admiral
Ancyloxypha numitor,Ancyloxypha numitor,least skipper
Polites mystic,Polites mystic,long dash
Feniseca tarquinius,Feniseca tarquinius,harvester
Speyeria cybele,Speyeria cybele,great spangled fritillary
Nymphalis antiopa,Nymphalis antiopa,mourning cloak
Limenitis archippus,Limenitis archippus,viceroy
Lethe anthedon,Lethe anthedon,NULL
Lethe eurydice,Lethe eurydice,NULL
Megisto cymela,Megisto cymela,little wood-satyr
Pyrgus centaureae,Pyrgus centaureae,grizzled skipper
Papilio machaon,Papilio machaon,old world swallowtail
Lycaena helloides,Lycaena helloides,purplish copper
Polygonia faunus,Polygonia faunus,green comma
Epargyreus clarus,Epargyreus clarus,silver-spotted skipper
Pholisora catullus,Pholisora catullus,common sootywing
Euphyes vestris,Euphyes vestris,dun skipper
Papilio polyxenes,Papilio polyxenes,polixenes arctic
Celastrina neglecta,Celastrina neglecta,NULL
Vanessa cardui,Vanessa cardui,painted lady
Colias interior,Colias interior,pink-edged sulphur
Lycaena dorcas,Lycaena dorcas,dorcas copper
Callophrys augustinus,Callophrys augustinus,brown elfin
Callophrys lanoraieensis,Callophrys lanoraieensis,bog elfin
Erebia discoidalis,Erebia discoidalis,red-disked alpine
Strymon melinus,Strymon melinus,gray hairstreak
Plebejus glandon,Plebejus glandon,NULL
Polites peckius,Polites peckius,peck's skipper
Colias pelidne,Colias pelidne,pelidne sulphur
Wallengrenia egeremet,Wallengrenia egeremet,northern broken-dash
Boloria eunomia,Boloria eunomia,bog fritillary
Papilio brevicauda,Papilio brevicauda,short-tailed swallowtail
Lycaena phlaeas,Lycaena phlaeas,american copper
Polyommatus icarus,Polyommatus icarus,NULL
Vanessa virginiensis,Vanessa virginiensis,american lady
Hesperia leonardus,Hesperia leonardus,leonard's skipper
Lycaena hyllus,Lycaena hyllus,bronze copper
Junonia coenia,Junonia coenia,common buckeye
Poanes viator,Poanes viator,broad-winged skipper
Euphydryas phaeton,Euphydryas phaeton,baltimore checkerspot
Boloria chariclea,Boloria chariclea,arctic fritillary
Lycaena epixanthe,Lycaena epixanthe,bog copper
Polites origenes,Polites origenes,crossline skipper
Anatrytone logan,Anatrytone logan,delaware skipper
Satyrium caryaevorus,Satyrium caryaevorus,hickory hairstreak
Colias hecla,Colias hecla,arctic sulphur
Papilio palamedes,Papilio palamedes,palamedes swallowtail
Calycopis cecrops,Calycopis cecrops,red-banded hairstreak
Agraulis vanillae,Agraulis vanillae,gulf fritillary
Cyllopsis gemma,Cyllopsis gemma,gemmed satyr
Nastra lherminier,Nastra lherminier,swarthy skipper
Eurema daira,Eurema daira,barred yellow
Erebia mancinus,Erebia mancinus,taiga alpine
Asterocampa clyton,Asterocampa clyton,tawny emperor
Boloria freija,Boloria freija,freija fritillary
Euphyes bimacula,Euphyes bimacula,two-spotted skipper
Euphyes conspicua,Euphyes conspicua,black dash
Oeneis polixenes,Oeneis polixenes,polixenes arctic
Colias palaeno,Colias palaeno,palaeno sulphur
Phyciodes mylitta,Phyciodes mylitta,mylitta crescent
Atalopedes campestris,Atalopedes campestris,sachem
Urbanus proteus,Urbanus proteus,long-tailed skipper
Anartia jatrophae,Anartia jatrophae,white peacock
Eurytides marcellus,Eurytides marcellus,zebra swallowtail
Poanes zabulon,Poanes zabulon,zabulon skipper
Hermeuptychia sosybius,Hermeuptychia sosybius,carolina satyr
Phoebis sennae,Phoebis sennae,cloudless sulphur
Erynnis brizo,Erynnis brizo,sleepy duskywing
Oeneis melissa,Oeneis melissa,melissa arctic
Pyrgus oileus,Pyrgus oileus,tropical checkered-skipper
Lerema accius,Lerema accius,clouded skipper
Panoquina ocola,Panoquina ocola,ocola skipper
Pieris,Pieris,whites
Polygonia,Polygonia,NULL
Erynnis,Erynnis,NULL
Oligoria maculata,Oligoria maculata,twin-spot skipper
Erynnis zarucco,Erynnis zarucco,zarucco duskywing
Neonympha areolatus,Neonympha areolatus,georgia satyr
Calpodes ethlius,Calpodes ethlius,brazilian skipper
Hesperia comma,Hesperia comma,common branded skipper
Phyciodes,Phyciodes,NULL
Celastrina,Celastrina,NULL
Celastrina neglectamajor,Celastrina neglectamajor,appalachian azure
Boloria polaris,Boloria polaris,polaris fritillary
Problema byssus,Problema byssus,byssus skipper
Aglais io,Aglais io,NULL
Colias,Colias,NULL
Amblyscirtes reversa,Amblyscirtes reversa,reversed roadside-skipper
Cerastium,Cerastium,mouse-ear chickweed
Satyrium,Satyrium,NULL
Boloria,Boloria,NULL
Hermeuptychia,Hermeuptychia,NULL
Amblyraja jenseni,Amblyraja jenseni,shorttail skate
Orconectes limosus,Faxonius limosus,spinycheek crayfish
Cambarus bartonii,Cambarus bartonii,common crayfish
Fucus vesiculosus,Fucus vesiculosus,NULL
Saccharina latissima,Saccharina latissima,NULL
Laminaria digitata,Laminaria digitata,NULL
Chorda filum,Chorda filum,NULL
Agarum clathratum,Agarum,NULL
Carpiodes cyprinus,Carpiodes cyprinus,quillback
Dorosoma cepedianum,Dorosoma cepedianum,american gizzard shad
Oncorhynchus kisutch,Oncorhynchus kisutch,coho salmon
Pomoxis nigromaculatus,Pomoxis nigromaculatus,black crappie
Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,chinook salmon
Scardinius erythrophthalmus,Scardinius erythrophthalmus,pearl roach
Amia calva,Amia calva,bowfin
Lepisosteus osseus,Lepisosteus osseus,longnose gar
Labidesthes sicculus,Labidesthes sicculus,brook silverside
Cyprinella spiloptera,Cyprinella spiloptera,spotfin shiner
Noturus gyrinus,Noturus gyrinus,tadpole madtom
Morone chrysops,Morone chrysops,palmetto bass hybrid
Orconectes virilis,Faxonius virilis,virile crayfish
Orconectes propinquus,Faxonius propinquus,northern clearwater crayfish
Saccorhiza dermatodea,Saccorhiza dermatodea,NULL
Fucus distichus evanescens,Fucus evanescens,NULL
Chondrus crispus,Chondrus crispus,NULL
Alaria esculenta,Alaria esculenta,NULL
Fucus spiralis,Fucus spiralis,NULL
Ascophyllum nodosum,Ascophyllum nodosum,NULL
Cambarus robustus,Cambarus robustus,big water crayfish
Phoca groenlandica,Pagophilus groenlandicus,harp seal
Anisarchus medius,Anisarchus medius,stout eelblenny
Cryptopsaras couesii,Cryptopsaras couesii,triplewart seadevil
Cyclothone microdon,Cyclothone microdon,small-toothed bristlemouth
Polyipnus clarus,Polyipnus clarus,slope hatchetfish
Neoscopelus macrolepidotus,Neoscopelus macrolepidotus,blackchin
Notoscopelus elongatus,Notoscopelus elongatus,a lanternfish
Lampadena speculigera,Lampadena speculigera,mirror lanternfish
Sebastes norvegicus,Sebastes norvegicus,golden redfish
Micromesistius poutassou,Micromesistius poutassou,couch's whiting
Pleuronectes putnami,Liopsetta putnami,smooth flounder
Botryllus schlosseri,Botryllus schlosseri,NULL
Diplosoma listerianum,Diplosoma listerianum,NULL
Didemnum vexillum,Didemnum vexillum,NULL
Caprella mutica,Caprella mutica,NULL
Ciona intestinalis,Ciona intestinalis,NULL
Styela clava,Styela clava,NULL
Membranipora membranacea,Membranipora membranacea,NULL
Ascidiella aspersa,Ascidiella aspersa,NULL
Botrylloides violaceus,Botrylloides violaceus,NULL
Ichthyomyzon castaneus,Ichthyomyzon castaneus,chestnut lamprey
Mola mola,Mola mola,ocean sunfish
Dikerogammarus villosus,Dikerogammarus villosus,NULL
Cercopagis pengoi,Cercopagis pengoi,fishhook waterflea
Monodon monoceros,Monodon monoceros,narwhal
Orconectes obscurus,Faxonius obscurus,allegheny crayfish
Thunnus thynnus,Thunnus thynnus,atlantic bluefin tuna
Scomber colias,Scomber colias,altantic chub mackerel
Kalmia procumbens,Kalmia procumbens,NULL
Armeria maritima sibirica,Armeria maritima sibirica,sea thrift
Carex lenticularis,Carex lenticularis,lenticular sedge
Juncus filiformis,Juncus filiformis,thread rush
Agrostis mertensii,Agrostis mertensii,northern bentgrass
Pleurozium schreberi,Pleurozium schreberi,schreber's big red stem moss
Pohlia nutans,Pohlia nutans,NULL
Empetrum nigrum,Empetrum nigrum,black crowberry
Avenella flexuosa,Deschampsia flexuosa,wavy hairgrass
Lycopodium lagopus,Lycopodium lagopus,one-cone clubmoss
Cladonia stellaris,Cladonia stellaris,NULL
Cladonia rangiferina,Cladonia rangiferina,NULL
Arctocetraria andrejevii,Nephromopsis andrejevii,NULL
Cladonia mitis,Cladonia mitis,NULL
Cladonia gracilis,Cladonia gracilis,NULL
Dicranum undulatum,Dicranum undulatum,NULL
Polytrichum juniperinum,Polytrichum juniperinum,juniper polytrichum moss
Flavocetraria nivalis,Nephromopsis nivalis,NULL
Cladonia cariosa,Cladonia cariosa,NULL
Cladonia cornuta,Cladonia cornuta,NULL
Cladonia borealis,Cladonia borealis,NULL
Hamatocaulis vernicosus,Hamatocaulis vernicosus,NULL
Salix pedicellaris,Salix pedicellaris,bog willow
Carex magellanica irrigua,Carex magellanica irrigua,boreal bog sedge
Sphagnum compactum,Sphagnum compactum,low sphagnum
Sphagnum lindbergii,Sphagnum lindbergii,lindberg's sphagnum
Sphagnum riparium,Sphagnum riparium,streamside sphagnum
Sphagnum fallax,Sphagnum fallax,NULL
Drosera rotundifolia,Drosera rotundifolia,round-leaved sundew
Andromeda polifolia latifolia,Andromeda polifolia latifolia,bog rosemary
Vaccinium oxycoccos,Vaccinium oxycoccos,small cranberry
Carex limosa,Carex limosa,mud sedge
Maianthemum trifolium,Maianthemum trifolium,three-leaved false solomon's seal
Betula michauxii,Betula michauxii,newfoundland dwarf birch
Racomitrium lanuginosum,Racomitrium lanuginosum,NULL
Arctous alpina,Arctous alpina,alpine bearberry
Salix uva-ursi,Salix uva-ursi,bearberry willow
Peltigera aphthosa,Peltigera aphthosa,NULL
Flavocetraria cucullata,Nephromopsis cucullata,NULL
Alectoria ochroleuca,Alectoria ochroleuca,NULL
Straminergon stramineum,Straminergon stramineum,NULL
Dicranum leioneuron,Dicranum leioneuron,NULL
Sphagnum balticum,Sphagnum balticum,baltic sphagnum
Sphagnum warnstorfii,Sphagnum warnstorfii,warnstorf's sphagnum
Solidago macrophylla,Solidago macrophylla,large-leaved goldenrod
Lonicera villosa,Lonicera villosa,mountain fly-honeysuckle
Kalmia polifolia,Kalmia polifolia,pale bog laurel
Lysimachia borealis,Lysimachia borealis,northern starflower
Rubus arcticus acaulis,Rubus arcticus acaulis,stemless raspberry
Rubus chamaemorus,Rubus chamaemorus,cloudberry
Trichophorum cespitosum,Trichophorum cespitosum,tufted clubrush
Selaginella selaginoides,Selaginella selaginoides,low spikemoss
Eurybia radula,Eurybia radula,low rough aster
Solidago uliginosa,Solidago uliginosa,bog goldenrod
Chamaedaphne calyculata,Chamaedaphne calyculata,leatherleaf
Carex microglochin,Carex microglochin,few-seeded fen sedge
Carex oligosperma,Carex oligosperma,few-seeded sedge
Carex rostrata,Carex rostrata,swollen beaked sedge
Ptilidium ciliare,Ptilidium ciliare,NULL
Cetraria nigricans,Cetraria nigricans,NULL
Sphaerophorus globosus,Sphaerophorus globosus,NULL
Dicranum fuscescens,Dicranum fuscescens,NULL
Ptilium crista-castrensis,Ptilium crista-castrensis,knights plume moss
Cornus canadensis,Cornus canadensis,bunchberry
Linnaea borealis longiflora,Linnaea borealis longiflora,twinflower
Nephroma arcticum,Nephroma arcticum,NULL
Sphagnum fimbriatum,Sphagnum fimbriatum,NULL
Sphagnum pulchrum,Sphagnum pulchrum,NULL
Sphagnum squarrosum,Sphagnum squarrosum,NULL
Sphagnum subsecundum,Sphagnum subsecundum,NULL
Comarum palustre,Comarum palustre,marsh cinquefoil
Carex aquatilis,Carex aquatilis,water sedge
Equisetum fluviatile,Equisetum fluviatile,water horsetail
Dicranum groenlandicum,Dicranum groenlandicum,greenland dicranum moss
Sphagnum capillifolium,Sphagnum capillifolium,NULL
Tetraplodon mnioides,Tetraplodon mnioides,entireleaf nitrogen moss
Cladonia amaurocraea,Cladonia amaurocraea,NULL
Andreaea rupestris,Andreaea rupestris,NULL
Stereocaulon paschale,Stereocaulon paschale,NULL
Trapeliopsis granulosa,Trapeliopsis granulosa,NULL
Cetraria arenaria,Cetraria arenaria,NULL
Peltigera canina,Peltigera canina,NULL
Draba glabella,Draba glabella,smooth draba
Mononeuria groenlandica,Mononeuria groenlandica,greenland stitchwort
Salix glauca cordifolia,Salix glauca cordifolia,grey-leaved willow
Carex arctogena,Carex capitata,tufted black sedge
Woodsia alpina,Woodsia alpina,alpine woodsia
Cladonia chlorophaea,Cladonia chlorophaea,NULL
Meesia triquetra,Meesia triquetra,NULL
Sphagnum angustifolium,Sphagnum angustifolium,NULL
Salix planifolia,Salix planifolia,tea-leaved willow
Sphagnum russowii,Sphagnum russowii,russow's sphagnum
Sphagnum rubellum,Sphagnum rubellum,NULL
Vaccinium cespitosum,Vaccinium cespitosum,dwarf bilberry
Carex brunnescens,Carex brunnescens,brownish sedge
Luzula parviflora,Luzula parviflora,small-flowered woodrush
Sanionia uncinata,Sanionia uncinata,NULL
Bistorta vivipara,Bistorta vivipara,alpine bistort
Salix argyrocarpa,Salix argyrocarpa,labrador willow
Calamagrostis canadensis,Calamagrostis canadensis,bluejoint reedgrass
Vahlodea atropurpurea,Vahlodea atropurpurea,NULL
Carex canescens,Carex canescens,hoary sedge
Cladopodiella fluitans,Odontoschisma fluitans,NULL
Sarmentypnum exannulatum,Sarmentypnum exannulatum,NULL
Menyanthes trifoliata,Menyanthes trifoliata,bog buckbean
Carex livida,Carex livida,livid sedge
Juncus stygius americanus,Juncus stygius americanus,american moor rush
Sanguisorba canadensis,Sanguisorba canadensis,canada burnet
Vaccinium angustifolium,Vaccinium angustifolium,early lowbush blueberry
Geocaulon lividum,Geocaulon lividum,northern comandra
Juniperus communis depressa,Juniperus communis depressa,depressed juniper
Warnstorfia fluitans,Warnstorfia fluitans,NULL
Campylium stellatum,Campylium stellatum,star campylium moss
Loeskypnum badium,Loeskypnum badium,NULL
Castilleja septentrionalis,Castilleja septentrionalis,northeastern paintbrush
Carex exilis,Carex exilis,meagre sedge
Triglochin maritima,Triglochin maritima,seaside arrowgrass
Tofieldia pusilla,Tofieldia pusilla,small tofieldia
Platanthera dilatata,Platanthera dilatata,tall white bog orchid
Spiranthes romanzoffiana,Spiranthes romanzoffiana,hooded ladies'-tresses
Petasites frigidus palmatus,Petasites frigidus palmatus,palmate coltsfoot
Cetraria ericetorum,Cetraria ericetorum,NULL
Cladonia stygia,Cladonia stygia,NULL
Myrica gale,Myrica gale,sweet gale
Carex pauciflora,Carex pauciflora,few-flowered sedge
Umbilicaria proboscidea,Umbilicaria proboscidea,NULL
Sphagnum platyphyllum,Sphagnum platyphyllum,NULL
Sphagnum subfulvum,Sphagnum subfulvum,NULL
Drosera anglica,Drosera anglica,english sundew
Coptis trifolia,Coptis trifolia,goldthread
Scorpidium scorpioides,Scorpidium scorpioides,NULL
Trichophorum alpinum,Trichophorum alpinum,alpine clubrush
Bryoria nitidula,Bryoria nitidula,NULL
Dryopteris fragrans,Dryopteris fragrans,fragrant wood fern
Dicranum elongatum,Dicranum elongatum,elongate dicranum moss
Sphagnum fuscum,Sphagnum fuscum,NULL
Carex rariflora,Carex rariflora,loose-flowered alpine sedge
Arenaria humifusa,Arenaria humifusa,NULL
Pyrola grandiflora,Pyrola grandiflora,arctic pyrola
Anemone parviflora,Anemone parviflora,small-flowered anemone
Salix vestita,Salix vestita,hairy willow
Mitella nuda,Mitella nuda,naked mitrewort
Bartsia alpina,Bartsia alpina,alpine bartsia
Juniperus communis,Juniperus communis,common juniper
Polytrichum piliferum,Polytrichum piliferum,NULL
Betula pumila glandulifera,Betula pumila glandulifera,bog birch
Carex chordorrhiza,Carex chordorrhiza,creeping sedge
Triantha glutinosa,Triantha glutinosa,sticky tofieldia
Equisetum arvense,Equisetum arvense,field horsetail
Gaultheria hispidula,Gaultheria hispidula,creeping snowberry
Pinguicula vulgaris,Pinguicula vulgaris,common butterwort
Eriophorum viridicarinatum,Eriophorum viridicarinatum,green-keeled cottongrass
Hypnum lindbergii,Calliergonella lindbergii,lindberg's hypnum moss
Pseudobryum cinclidioides,Pseudobryum cinclidioides,NULL
Ribes glandulosum,Ribes glandulosum,skunk currant
Dryopteris expansa,Dryopteris expansa,spreading wood fern
Sphagnum magellanicum,Sphagnum magellanicum,magellan's sphagnum
Carex tenuiflora,Carex tenuiflora,sparse-flowered sedge
Viburnum edule,Viburnum edule,squashberry
Amelanchier bartramiana,Amelanchier bartramiana,bartram's serviceberry
Solidago multiradiata,Solidago multiradiata,multi-rayed goldenrod
Carex vaginata,Carex vaginata,sheathed sedge
Phleum alpinum,Phleum alpinum,alpine timothy
Taraxacum lapponicum,Taraxacum lapponicum,NULL
Hylocomium splendens,Hylocomium splendens,splendid feather moss
Meesia uliginosa,Meesia uliginosa,NULL
Calamagrostis stricta,Calamagrostis stricta,slim-stemmed reedgrass
Carex capillaris fuscidula,Carex capillaris fuscidula,dusky-spike sedge
Rhododendron lapponicum,Rhododendron lapponicum,lapland rosebay
Scorpidium cossonii,Scorpidium cossonii,NULL
Achillea millefolium borealis,Achillea millefolium lanulosa lanulosa,NULL
Arabidopsis arenicola,Arabidopsis arenicola,arctic rockcress
Chamaenerion latifolium,Chamerion latifolium,NULL
Rubus idaeus strigosus,Rubus idaeus strigosus,north american red raspberry
Elymus trachycaulus,Elymus trachycaulus,wildrye
Trisetum spicatum,Trisetum spicatum,NULL
Taraxacum ceratophorum,Taraxacum ceratophorum,horned dandelion
Viscaria alpina,Silene suecica,NULL
Sabulina dawsonensis,Minuartia dawsonensis,dawson's stitchwort
Sibbaldia tridentata,Sibbaldia tridentata,three-toothed cinquefoil
Deschampsia cespitosa,Deschampsia cespitosa,tufted hairgrass
Botrychium lunaria,Botrychium lunaria,common moonwort
Festuca prolifera lasiolepis,Festuca prolifera lasiolepis,proliferous fescue
Pedicularis labradorica,Pedicularis labradorica,labrador lousewort
Luzula confusa,Luzula confusa,northern woodrush
Cetraria aculeata,Cetraria aculeata,NULL
Gowardia nigricans,Gowardia nigricans,NULL
Lepra panyrga,Lepra panyrga,NULL
Cerastium alpinum lanatum,Cerastium alpinum lanatum,woolly alpine chickweed
Packera pauciflora,Packera pauciflora,few-flowered groundsel
Eriophorum vaginatum spissum,Eriophorum vaginatum spissum,tussock cottongrass
Dicranum acutifolium,Dicranum acutifolium,acuteleaf dicranum moss
Racomitrium microcarpum,Bucklandiella microcarpa,NULL
Aulacomnium palustre,Aulacomnium palustre,NULL
Salix arctophila,Salix arctophila,northern willow
Carex utriculata,Carex utriculata,northern beaked sedge
Neottia cordata,Listera cordata cordata,heart-leaved twayblade
Scorpidium revolvens,Scorpidium revolvens,NULL
Aulacomnium turgidum,Aulacomnium turgidum,turgid aulacomnium moss
Rhytidium rugosum,Rhytidium rugosum,NULL
Cerastium arvense strictum,Cerastium arvense strictum,matted field chickweed
Sabulina rubella,Sabulina rubella,reddish stitchwort
Epilobium davuricum,Epilobium davuricum,dahurian willowherb
Juncus triglumis albescens,Juncus triglumis albescens,northern white rush
Omalotheca norvegica,Omalotheca norvegica,norwegian cudweed
Rhinanthus minor groenlandicus,Rhinanthus minor groenlandicus,greenland yellow rattle
Schizachne purpurascens,Schizachne purpurascens,purple false melic
Hylocomiastrum pyrenaicum,Hylocomiastrum pyrenaicum,NULL
Packera aurea,Packera aurea,golden groundsel
Epilobium anagallidifolium,Epilobium anagallidifolium,alpine willowherb
Geum rivale,Geum rivale,water avens
Euphrasia wettsteinii,Euphrasia wettsteinii,wettstein's eyebright
Shepherdia canadensis,Shepherdia canadensis,soapberry
Salix bebbiana,Salix bebbiana,bebb's willow
Cladonia digitata,Cladonia digitata,NULL
Gymnocolea acutiloba,Gymnocolea inflata acutiloba,NULL
Carex capillaris,Carex capillaris,hair-like sedge
Tetralophozia setiformis,Tetralophozia setiformis,NULL
Arctoparmelia centrifuga,Arctoparmelia centrifuga,NULL
Lepra dactylina,Lepra dactylina,NULL
Sphaerophorus fragilis,Sphaerophorus fragilis,NULL
Ceratodon purpureus,Ceratodon purpureus,NULL
Lecanora polytropa,Lecanora polytropa,NULL
Sarmentypnum sarmentosum,Sarmentypnum sarmentosum,NULL
Utricularia intermedia,Utricularia intermedia,flat-leaved bladderwort
Sparganium hyperboreum,Sparganium hyperboreum,northern burreed
Aneura pinguis,Aneura pinguis,NULL
Calamagrostis lapponica,Calamagrostis lapponica,lapland reedgrass
Ochrolechia frigida,Ochrolechia frigida,NULL
Peltigera rufescens,Peltigera rufescens,NULL
Pertusaria coriacea,Pertusaria coriacea,NULL
Umbilicaria hyperborea,Umbilicaria hyperborea,NULL
Bryocaulon divergens,Bryocaulon divergens,NULL
Carex saxatilis,Carex saxatilis,russet sedge
Climacium dendroides,Climacium dendroides,tree climacium moss
Packera indecora,Packera indecora,rayless mountain groundsel
Ribes triste,Ribes triste,swamp red currant
Orthilia secunda,Orthilia secunda,one-sided wintergreen
Viola labradorica,Viola labradorica,labrador violet
Equisetum sylvaticum,Equisetum sylvaticum,woodland horsetail
Poa pratensis alpigena,Poa pratensis alpigena,kentucky bluegrass
Poa alpina,Poa alpina,alpine bluegrass
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,common bearberry
Botrychium lanceolatum angustisegmentum,Botrychium lanceolatum angustisegmentum,narrow triangle moonwort
Carex supina spaniocarpa,Carex supina spaniocarpa,weak arctic sedge
Potentilla norvegica,Potentilla norvegica,rough cinquefoil
Carex atratiformis,Carex atratiformis,scabrous black sedge
Vulpicida pinastri,Vulpicida pinastri,NULL
Umbilicaria torrefacta,Umbilicaria torrefacta,NULL
Rhizocarpon geographicum,Rhizocarpon geographicum,NULL
Brachythecium salebrosum,Brachythecium salebrosum,NULL
Cetraria islandica crispiformis,Cetraria islandica crispiformis,NULL
Omalotheca supina,Omalotheca supina,alpine cudweed
Sibbaldia procumbens,Sibbaldia procumbens,creeping sibbaldia
Oreojuncus trifidus,Oreojuncus trifidus,highland rush
Luzula multiflora frigida,Luzula multiflora frigida,northern many-flowered woodrush
Diphasiastrum alpinum,Diphasiastrum alpinum,alpine clubmoss
Huperzia appressa,Huperzia appressa,mountain firmoss
Cetraria laevigata,Cetraria laevigata,NULL
Achillea millefolium nigrescens,Achillea millefolium lanulosa lanulosa,NULL
Campanula gieseckeana,Campanula gieseckeana,NULL
Saxifraga paniculata laestadii,Saxifraga paniculata laestadii,laestadius' saxifrage
Viola macloskeyi,Viola macloskeyi,macloskey's violet
Cephalozia bicuspidata,Cephalozia bicuspidata,twotoothed cephalozia
Woodsia ilvensis,Woodsia ilvensis,rusty woodsia
Carex deflexa,Carex deflexa,bent northern sedge
Diphasiastrum complanatum,Diphasiastrum complanatum,northern ground-cedar
Petasites frigidus sagittatus,Petasites frigidus sagittatus,arrow-leaved coltsfoot
Equisetum pratense,Equisetum pratense,meadow horsetail
Myriophyllum sibiricum,Myriophyllum sibiricum,siberian water-milfoil
Hippuris vulgaris,Hippuris vulgaris,common mare's-tail
Eleocharis acicularis,Eleocharis acicularis,needle spikerush
Potamogeton alpinus,Potamogeton alpinus,alpine pondweed
Sparganium angustifolium,Sparganium angustifolium,narrow-leaved burreed
Pedicularis groenlandica,Pedicularis groenlandica,elephant's-head lousewort
Carex rupestris,Carex rupestris,rock sedge
Dactylina arctica,Dactylina arctica,NULL
Carex gynocrates,Carex gynocrates,sedge
Carex norvegica,Carex norvegica,norway sedge
Sphagnum teres,Sphagnum teres,NULL
Rubus arcticus,Rubus arcticus,arctic raspberry
Calamagrostis canadensis langsdorffii,Calamagrostis canadensis langsdorffii,bluejoint reedgrass
Cladonia fimbriata,Cladonia fimbriata,NULL
Parmelia omphalodes,Parmelia omphalodes,NULL
Psilopilum laevigatum,Psilopilum laevigatum,NULL
Antennaria alpina,Antennaria alpina,alpine pussytoes
Senecio congestus,Tephroseris palustris,NULL
Ranunculus hyperboreus,Ranunculus hyperboreus,far-northern buttercup
Luzula groenlandica,Luzula groenlandica,greenland woodrush
Odontoschisma elongatum,Odontoschisma elongatum,NULL
Anthelia juratzkana,Anthelia juratzkana,juratzka's anthelia
Barbilophozia hatcheri,Barbilophozia hatcheri,hatcher's barbilophozia
Gymnomitrion concinnatum,Gymnomitrion concinnatum,NULL
Barbilophozia binsteadii,Neoorthocaulis binsteadii,binstead's barbilophozia
Ochrolechia androgyna,Ochrolechia androgyna,NULL
Calamagrostis,Calamagrostis,reedgrass
Lathyrus japonicus,Lathyrus japonicus,beach pea
Cephaloziella varians,Cephaloziella varians,NULL
Stellaria longipes,Stellaria longipes,long-stalked starwort
Anemonastrum richardsonii,Anemonastrum richardsonii,richardson's anemone
Stereocaulon alpinum,Stereocaulon alpinum,NULL
Peltigera horizontalis,Peltigera horizontalis,NULL
Linnaea borealis,Linnaea borealis,twinflower
Cynodontium strumiferum,Cynodontium strumiferum,NULL
Dicranum montanum,Dicranum montanum,montane dicranum moss
Oxytropis maydelliana,Oxytropis maydelliana,maydell's locoweed
Salix arctica,Salix arctica,arctic willow
Salix calcicola,Salix calcicola,limestone willow
Platanthera obtusata,Platanthera obtusata,blunt-leaved orchid
Dupontia fisheri,Dupontia fisheri,fisher's tundra grass
Scapania obcordata,Scapania obcordata,NULL
Protopannaria pezizoides,Protopannaria pezizoides,NULL
Anthoxanthum monticola alpinum,Anthoxanthum monticola alpinum,alpine sweetgrass
Campanula uniflora,Campanula uniflora,arctic bellflower
Huperzia selago,Huperzia selago,NULL
Hierochloe alpina,Anthoxanthum monticola,vernalgrass
Andreaea alpestris,Andreaea rupestris,NULL
Festuca hyperborea,Festuca hyperborea,boreal fescue
Bryum creberrimum,Ptychostomum creberrimum,NULL
Hypnum bambergeri,Campylium bambergeri,bamberger's hypnum moss
Carex leptalea,Carex leptalea,bristle-stalked sedge
Moerckia hibernica,Moerckia hibernica,NULL
Epilobium palustre,Epilobium palustre,marsh willowherb
Sphagnum contortum,Sphagnum contortum,contorted sphagnum
Cladonia sulphurina,Cladonia sulphurina,NULL
Riccardia latifrons,Riccardia latifrons,NULL
Dicranum spadiceum,Dicranum spadiceum,NULL
Hylocomiastrum umbratum,Hylocomiastrum umbratum,NULL
Ranunculus allenii,Ranunculus allenii,allen's buttercup
Brachythecium,Brachythecium,NULL
Racomitrium ericoides,Niphotrichum ericoides,NULL
Sagina caespitosa,Sagina caespitosa,tufted pearlwort
Icmadophila ericetorum,Icmadophila ericetorum,NULL
